DEBUG 2016-03-29 09:25:52,843 utils (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
DEBUG 2016-03-29 09:28:11,296 utils (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
DEBUG 2016-03-29 09:28:38,926 utils (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
DEBUG 2016-03-29 09:28:53,891 utils (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
DEBUG 2016-03-29 09:29:03,846 utils (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
DEBUG 2016-03-29 09:29:03,869 utils (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
DEBUG 2016-03-29 09:29:03,870 utils (0.000) SHOW FULL TABLES; args=None
DEBUG 2016-03-29 09:29:03,870 schema CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); (params None)
DEBUG 2016-03-29 09:29:03,964 utils (0.094) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); args=None
DEBUG 2016-03-29 09:29:03,966 utils (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
DEBUG 2016-03-29 09:29:03,970 utils (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2016-03-29 09:29:03,983 schema CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
DEBUG 2016-03-29 09:29:04,033 utils (0.049) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
DEBUG 2016-03-29 09:29:04,034 utils (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
DEBUG 2016-03-29 09:29:04,038 schema ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); (params [])
DEBUG 2016-03-29 09:29:04,062 utils (0.025) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); args=[]
DEBUG 2016-03-29 09:29:04,063 utils (0.000) SHOW FULL TABLES; args=None
DEBUG 2016-03-29 09:29:04,064 utils (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2016-03-29 09:29:04.063968'); args=['contenttypes', u'0001_initial', u'2016-03-29 09:29:04.063968']
DEBUG 2016-03-29 09:29:04,075 schema CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); (params None)
DEBUG 2016-03-29 09:29:04,115 utils (0.039) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); args=None
DEBUG 2016-03-29 09:29:04,116 utils (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
DEBUG 2016-03-29 09:29:04,124 schema CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
DEBUG 2016-03-29 09:29:04,163 utils (0.038) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
DEBUG 2016-03-29 09:29:04,164 utils (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
